SN,Date,Venue,City,State,Country,Set 1,Set 2,Set 3,Encore,Show Number
322,10/19/72,Fox Theatre,St. Louis,MO,US,"The Promised Land, Tennessee Jed, Jack Straw, Dont Ease Me In, Black Throated Wind, Sugaree, Mexicali Blues, Bertha, El Paso, China Cat Sunflower, I Know You Rider, Beat It On Down The Line, Dire Wolf, Around And Around, Casey Jones","Big River, Friend Of The Devil, Me And My Uncle, Bird Song, Truckin, Drums, The Other One, Hes Gone, The Other One, Greatest Story Ever Told, Comes A Time, Not Fade Away, Goin Down The Road Feeling Bad, Not Fade Away",No Set 3,No Encore,1
323,10/21/72,Vanderbilt University,Nashville,TN,US,"Bertha, Me And My Uncle, Deal, Beat It On Down The Line, Sugaree, El Paso, China Cat Sunflower, I Know You Rider, Black Throated Wind, Tennessee Jed, Jack Straw, Loser, Playing In The Band","The Promised Land, Brown Eyed Women, Big River, Hes Gone, Greatest Story Ever Told, Bird Song, Truckin, The Other One, Morning Dew, Sugar Magnolia",No Set 3,No Encore,1
324,10/27/72,Veterans Memorial Auditorium,Columbus,OH,US,"Bertha, Mexicali Blues, Loser, Jack Straw, Big Railroad Blues, El Paso, Sugaree, Beat It On Down The Line, Brown Eyed Women, Box Of Rain, Black Throated Wind, Tennessee Jed, Me And Bobby Mcgee, Bird Song, Big River, Casey Jones","Greatest Story Ever Told, Ramble On Rose, Truckin, The Other One, Mississippi Half Step Uptown Toodeloo, Morning Dew, Tomorrow Is Forever, The Promised Land, Deal, Sugar Magnolia",No Set 3,Uncle Johns Band,1
325,10/28/72,Cleveland Public Hall,Cleveland,OH,US,"El Paso, Casey Jones, Dark Star, Johnny B. Goode",No Set 2,No Set 3,No Encore,1
326,10/30/72,Ford Auditorium,Detroit,MI,US,The Promised Land,"Truckin, Around And Around",No Set 3,No Encore,1
327,11/13/72,Soldiers & Sailors Memorial Hall,Kansas City,KS,US,"Cold Rain And Snow, Beat It On Down The Line, Jack Straw, China Cat Sunflower, I Know You Rider, Box Of Rain, Black Throated Wind, Candyman, El Paso, Tomorrow Is Forever, Around And Around, Brown Eyed Women, Playing In The Band","The Promised Land, Ramble On Rose, Me And Bobby Mcgee, Dark Star, Morning Dew, Sugar Magnolia",No Set 3,No Encore,1
328,11/14/72,Oklahoma City Music Hall,Oklahoma City,OK,US,"Hes Gone, Truckin, The Other One, Sing Me Back Home, Sugar Magnolia",No Set 2,No Set 3,No Encore,1
329,11/15/72,Oklahoma City Music Hall,Oklahoma City,OK,US,"Bertha, Beat It On Down The Line, Jack Straw, Candyman, Big River, Sugaree, El Paso, Box Of Rain, Deal, Cumberland Blues, Around And Around, China Cat Sunflower, I Know You Rider","The Promised Land, Ramble On Rose, Mexicali Blues, Brokedown Palace, Playing In The Band, Big Railroad Blues, Me And Bobby Mcgee, Wharf Rat> , Jam> , Sugar Magnolia, Not Fade Away> , Goin Down The Road Feeling Bad> , Not Fade Away",No Set 3,Johnny B. Goode,1
330,11/17/72,Century II Convention Hall,Wichita,KS,US,"Beat It On Down The Line, Brown Eyed Women, Big River, China Cat Sunflower, I Know You Rider, Around And Around, Casey Jones","Cumberland Blues, El Paso, Uncle Johns Band, Hes Gone, Truckin, The Other One, Brokedown Palace, Sugar Magnolia, Uncle Johns Band",No Set 3,Johnny B. Goode,1
331,11/18/72,Hofheinz Pavilion,Houston,TX,US,"The Promised Land, Sugaree, Mexicali Blues, Loser, Black Throated Wind, Tennessee Jed, El Paso, Big Railroad Blues, Box Of Rain, China Cat Sunflower, I Know You Rider, Beat It On Down The Line, Brown Eyed Women, Around And Around, Casey Jones","Bertha, Greatest Story Ever Told, Hes Gone, Mississippi Half Step Uptown Toodeloo, Sugar Magnolia, One More Saturday Night, Uncle Johns Band",No Set 3,No Encore,1
332,11/19/72,Hofheinz Pavilion,Houston,TX,US,"Bertha, Me And My Uncle, Sugaree, Beat It On Down The Line, Bird Song, Black Throated Wind, Dont Ease Me In, Mexicali Blues, Box Of Rain, Tomorrow Is Forever, Big River, China Cat Sunflower, I Know You Rider, Playing In The Band, Casey Jones","The Promised Land, Ramble On Rose, El Paso, Stella Blue, Jack Straw, Dark Star, Weather Report Suite Prelude, Mississippi Half Step Uptown Toodeloo, Around And Around, Big Railroad Blues, Sugar Magnolia, Goin Down The Road Feeling Bad",No Set 3,No Encore,1
333,11/22/72,Austin Municipal Auditorium,Austin,TX,US,"The Promised Land, Sugaree, Mexicali Blues, Loser, Black Throated Wind, China Cat Sunflower, I Know You Rider, Beat It On Down The Line, Candyman, El Paso, Bird Song, Playing In The Band, Casey Jones","Greatest Story Ever Told, Hes Gone, Truckin, Drums, The Other One, Stella Blue, Big River, Ramble On Rose, Sugar Magnolia, Brokedown Palace, Around And Around, One More Saturday Night",No Set 3,Uncle Johns Band,1
334,11/24/72,Dallas Memorial Auditorium,Dallas,TX,US,"Dont Ease Me In, Me And My Uncle, Brown Eyed Women, Black Throated Wind, Bertha, El Paso, Deal, Beat It On Down The Line, Tennessee Jed, Jack Straw, Sugaree, Playing In The Band","China Cat Sunflower, I Know You Rider, Box Of Rain, Truckin, Ramble On Rose, Big River, Casey Jones, Sugar Magnolia, Not Fade Away, Goin Down The Road Feeling Bad, Not Fade Away",No Set 3,No Encore,1
335,11/26/72,San Antonio Civic Auditorium,San Antonio,TX,US,"The Promised Land, Deal, Mexicali Blues, Sugaree, Black Throated Wind, Bird Song, Beat It On Down The Line, China Cat Sunflower, I Know You Rider, Box Of Rain, El Paso, Big Railroad Blues, Around And Around, Casey Jones","Playing In The Band, Brown Eyed Women, Jack Straw, Dont Ease Me In, Big River, Dark Star, Me And Bobby Mcgee, Brokedown Palace, Sugar Magnolia, Goin Down The Road Feeling Bad, One More Saturday Night",No Set 3,No Encore,1
336,12/10/72,Winterland Arena,San Francisco,CA,US,"Cold Rain And Snow, Beat It On Down The Line, Dont Ease Me In, Black Throated Wind, Bird Song, El Paso, Around And Around, Tennessee Jed, Big River, Box Of Rain, Candyman, Bertha, Playing In The Band, Casey Jones","The Promised Land, Stella Blue, China Cat Sunflower, I Know You Rider, Truckin, The Other One, Deal, Jack Straw, Sugar Magnolia, Ramble On Rose, Johnny B. Goode",No Set 3,Uncle Johns Band,1
337,12/11/72,Winterland Arena,San Francisco,CA,US,"The Promised Land, Sugaree, Mexicali Blues, Loser, Me And Bobby Mcgee, Brown Eyed Women, Beat It On Down The Line, China Cat Sunflower, I Know You Rider, Box Of Rain, Hes Gone, Around And Around, Friend Of The Devil, Playing In The Band","Mississippi Half Step Uptown Toodeloo, Me And My Uncle, Big Railroad Blues, Dark Star, Stella Blue, Big River, Deal, Tomorrow Is Forever, Sugar Magnolia",No Set 3,Casey Jones,1
338,12/12/72,Winterland Arena,San Francisco,CA,US,"Bertha, Beat It On Down The Line, Bird Song, Mexicali Blues, Brown Eyed Women, Jack Straw, Me And Bobby Mcgee, Tennessee Jed, Box Of Rain, El Paso, Cumberland Blues, Dont Ease Me In, Around And Around","Playing In The Band, Hes Gone, Truckin","The Other One, Sugar Magnolia, Sing Me Back Home, Goin Down The Road Feeling Bad, One More Saturday Night",Johnny B. Goode,1
339,12/15/72,Long Beach Arena,Long Beach,CA,US,"The Promised Land, Sugaree, Black Throated Wind, Tennessee Jed, El Paso, Candyman, Big River, China Cat Sunflower, I Know You Rider, Box Of Rain, Mexicali Blues, Brown Eyed Women, Beat It On Down The Line, Loser, Playing In The Band, Casey Jones, Greatest Story Ever Told, Deal, Me And My Uncle, Hes Gone, Truckin, The Other One, Dark Star, Morning Dew, Sugar Magnolia, Johnny B. Goode",No Set 2,No Set 3,No Encore,1
340,12/31/72,Winterland Arena,San Francisco,CA,US,"Around And Around, Deal, Mexicali Blues, Brown Eyed Women, Box Of Rain, Jack Straw, Dont Ease Me In, Beat It On Down The Line, Candyman, El Paso, Tennessee Jed, Playing In The Band",Casey Jones,"The Promised Land, Mississippi Half Step Uptown Toodeloo, Big River, Sugaree, Truckin, The Other One, Drums, The Other One, Morning Dew, Sugar Magnolia, Sing Me Back Home, Johnny B. Goode","Uncle Johns Band, One More Saturday Night",1
341,2/9/73,Roscoe Maples Pavilion,Palo Alto,CA,US,"The Promised Land, Row Jimmy, Black Throated Wind, Deal, Me And My Uncle, Sugaree, Looks Like Rain, Loose Lucy, Mexicali Blues, Brown Eyed Women, El Paso, Here Comes Sunshine, Playing In The Band","China Cat Sunflower, I Know You Rider, Jack Straw, They Love Each Other, Truckin, Eyes Of The World, China Doll, Big River, Ramble On Rose, Box Of Rain, Wave That Flag, Sugar Magnolia, Uncle Johns Band, Around And Around",No Set 3,Casey Jones,1
342,2/15/73,Dane County Coliseum,Madison,WI,US,"Loose Lucy, Beat It On Down The Line, Brown Eyed Women, Mexicali Blues, Tennessee Jed, Looks Like Rain, Box Of Rain, Row Jimmy, Jack Straw, China Cat Sunflower, I Know You Rider, Me And My Uncle, Bertha, Playing In The Band, Casey Jones","Here Comes Sunshine, El Paso, You Aint Woman Enough, They Love Each Other, Big River, Dark Star, Eyes Of The World, China Doll, The Promised Land, Sugaree, Sugar Magnolia",No Set 3,"Uncle Johns Band, One More Saturday Night",1
343,2/17/73,St. Paul Auditorium,St. Paul,MN,US,"The Promised Land, Hes Gone, Looks Like Rain, Box Of Rain, Wave That Flag, Mexicali Blues, Bird Song, Beat It On Down The Line, Loose Lucy, Me And Bobby Mcgee, Stella Blue, El Paso, They Love Each Other, Playing In The Band","Truckin, Row Jimmy, Big River, You Aint Woman Enough, Here Comes Sunshine, China Cat Sunflower, I Know You Rider, Around And Around, Not Fade Away, Goin Down The Road Feeling Bad, Not Fade Away, One More Saturday Night",No Set 3,Casey Jones,1
344,2/19/73,International Amphitheatre,Chicago,IL,US,"The Promised Land, Box Of Rain, Brown Eyed Women, El Paso","Hes Gone> , Truckin> , The Other One> , Eyes Of The World> , China Doll, Sugar Magnolia, Casey Jones",No Set 3,No Encore,1
345,2/21/73,Assembly Hall,Champaign-Urbana,IL,US,"Wave That Flag, Me And My Uncle, Brown Eyed Women, Beat It On Down The Line, Loser, Looks Like Rain, Row Jimmy, You Aint Woman Enough, Box Of Rain, Big Railroad Blues, Sugaree, Around And Around","China Cat Sunflower, I Know You Rider, Jack Straw, Mississippi Half Step Uptown Toodeloo, Truckin, Eyes Of The World, Stella Blue, Sugar Magnolia, Casey Jones",No Set 3,Johnny B. Goode,1
346,2/22/73,Assembly Hall,Champaign-Urbana,IL,US,"The Promised Land, They Love Each Other, El Paso, Bird Song, Mexicali Blues, Deal, Looks Like Rain, Tennessee Jed, Box Of Rain, Playing In The Band","Wave That Flag, Me And My Uncle, Dark Star, Eyes Of The World, China Doll, Around And Around, Goin Down The Road Feeling Bad, One More Saturday Night",No Set 3,Casey Jones,1
347,2/24/73,Fieldhouse,Iowa City,IA,US,"Bertha, Mexicali Blues, Brown Eyed Women, Looks Like Rain, Loose Lucy, Beat It On Down The Line, China Cat Sunflower, I Know You Rider, Jack Straw, Here Comes Sunshine, El Paso, Box Of Rain, Tennessee Jed, Playing In The Band","They Love Each Other, Greatest Story Ever Told, Row Jimmy, Big River, Ramble On Rose, Me And Bobby Mcgee, Truckin, Nobodys Fault But Mine Jam, Eyes Of The World, Sugar Magnolia",No Set 3,No Encore,1
348,2/26/73,Pershing Municipal Auditorium,Lincoln,NE,US,"The Promised Land, Deal, Mexicali Blues, Loser, Jack Straw, Dont Ease Me In, Box Of Rain, China Cat Sunflower, I Know You Rider, Looks Like Rain, Loose Lucy, Beat It On Down The Line, Row Jimmy, El Paso, Big Railroad Blues, Playing In The Band","They Love Each Other, Big River, Tennessee Jed, Greatest Story Ever Told, Dark Star, Eyes Of The World, Mississippi Half Step Uptown Toodeloo, Me And My Uncle, Not Fade Away, Goin Down The Road Feeling Bad, Not Fade Away",No Set 3,No Encore,1
349,2/28/73,Salt Palace,Salt Lake City,UT,US,"Cold Rain And Snow, Beat It On Down The Line, They Love Each Other, Mexicali Blues, Sugaree, Box Of Rain, El Paso, Hes Gone, Jack Straw","China Cat Sunflower, I Know You Rider, Big River, Row Jimmy, The Promised Land, Truckin, The Other One, Eyes Of The World, Morning Dew, Sugar Magnolia",No Set 3,And We Bid You Good Night,1
350,3/15/73,Nassau Veterans Memorial Coliseum,Uniondale,NY,US,"The Promised Land, Mississippi Half Step Uptown Toodeloo, Mexicali Blues, They Love Each Other, Looks Like Rain, Deal, Beat It On Down The Line, Box Of Rain, Row Jimmy, Me And My Uncle, Tennessee Jed, El Paso, Here Comes Sunshine, Playing In The Band","Loose Lucy, Big River, Sugaree, Jack Straw, Stella Blue, Truckin, The Other One, Eyes Of The World, China Doll, You Aint Woman Enough, Sugar Magnolia, Casey Jones",No Set 3,No Encore,1
351,3/16/73,Nassau Veterans Memorial Coliseum,Uniondale,NY,US,"China Cat Sunflower, I Know You Rider, Jack Straw, Wave That Flag, Looks Like Rain, Ramble On Rose, Box Of Rain, Beat It On Down The Line, They Love Each Other, El Paso, Row Jimmy, Mexicali Blues, Bird Song, Playing In The Band","The Promised Land, Bertha, Greatest Story Ever Told, Loser, Big River, Dont Ease Me In, Me And My Uncle, Dark Star, Truckin, Morning Dew, Sugar Magnolia",No Set 3,No Encore,1
352,3/19/73,Nassau Veterans Memorial Coliseum,Uniondale,NY,US,"The Promised Land, Hes Gone, Mexicali Blues, They Love Each Other, Looks Like Rain, Wave That Flag, Box Of Rain, The Race Is On, Row Jimmy, El Paso, China Cat Sunflower, I Know You Rider, Around And Around, Tennessee Jed, Playing In The Band","Loose Lucy, Me And My Uncle, Brown Eyed Women, Big River, Mississippi Half Step Uptown Toodeloo, Stella Blue, Jack Straw, Truckin, The Other One, Eyes Of The World, China Doll, Johnny B. Goode, Casey Jones",No Set 3,No Encore,1
353,3/21/73,Utica Memorial Auditorium,Utica,NY,US,"Bertha, Me And My Uncle, Wave That Flag, Looks Like Rain, Tennessee Jed, Box Of Rain, Jack Straw, You Aint Woman Enough, Row Jimmy, Beat It On Down The Line, Here Comes Sunshine, The Race Is On, Loser, El Paso, China Cat Sunflower, I Know You Rider, Playing In The Band","Greatest Story Ever Told, They Love Each Other, Mexicali Blues, Brown Eyed Women, Big River, Brokedown Palace, Me And Bobby Mcgee, Weather Report Suite Prelude, Dark Star, Eyes Of The World, Wharf Rat, Sugar Magnolia",No Set 3,Casey Jones,1
354,3/22/73,Utica Memorial Auditorium,Utica,NY,US,"The Promised Land, Sugaree, Mexicali Blues, They Love Each Other, Looks Like Rain, Deal, Beat It On Down The Line, Bird Song, Jack Straw, Box Of Rain, You Aint Woman Enough, The Race Is On, Row Jimmy, El Paso, China Cat Sunflower, I Know You Rider, Playing In The Band, Casey Jones","Big River, Wave That Flag, Me And My Uncle, Here Comes Sunshine, Truckin, The Other One, Eyes Of The World, China Doll, Sugar Magnolia",No Set 3,One More Saturday Night,1
355,3/24/73,The Spectrum,Philadelphia,PA,US,"Bertha, Beat It On Down The Line, Dont Ease Me In, The Race Is On, Cumberland Blues, Box Of Rain, Row Jimmy, Jack Straw, They Love Each Other, Mexicali Blues, Tennessee Jed, Looks Like Rain, Wave That Flag, El Paso, Here Comes Sunshine, Me And Bobby Mcgee, Loser, Playing In The Band","The Promised Land, China Cat Sunflower, I Know You Rider, Big River, Stella Blue, Me And My Uncle, Hes Gone, Truckin, Spanish Jam, Dark Star, Sing Me Back Home, Sugar Magnolia",No Set 3,Johnny B. Goode,1
356,3/26/73,Baltimore Civic Center,Baltimore,MD,US,"The Promised Land, Mississippi Half Step Uptown Toodeloo, The Race Is On, Wave That Flag, Jack Straw, Sugaree, Mexicali Blues, Box Of Rain, Row Jimmy, Beat It On Down The Line, Brown Eyed Women, El Paso, China Cat Sunflower, I Know You Rider, Looks Like Rain, Dont Ease Me In, Playing In The Band","Ramble On Rose, Big River, Here Comes Sunshine, Greatest Story Ever Told, Candyman, Me And My Uncle, Hes Gone, Truckin, Weather Report Suite Prelude, Wharf Rat, Me And Bobby Mcgee, Eyes Of The World, Morning Dew, One More Saturday Night",No Set 3,No Encore,1
357,3/28/73,Springfield Civic Center Arena,Springfield,MA,US,"The Promised Land, Mississippi Half Step Uptown Toodeloo, The Race Is On, Wave That Flag, Jack Straw, Sugaree, Mexicali Blues, Box Of Rain, Row Jimmy, Beat It On Down The Line, Brown Eyed Women, El Paso, China Cat Sunflower, I Know You Rider, Looks Like Rain, Dont Ease Me In, Playing In The Band","Ramble On Rose, Big River, Here Comes Sunshine, Greatest Story Ever Told, Candyman, Me And My Uncle, Hes Gone, Truckin, Weather Report Suite Prelude, Wharf Rat, Me And Bobby Mcgee, Eyes Of The World, Morning Dew, One More Saturday Night",No Set 3,No Encore,1
358,3/30/73,Community War Memorial,Rochester,NY,US,"The Promised Land, Deal, Looks Like Rain, They Love Each Other, Mexicali Blues, Box Of Rain, Cumberland Blues, Candyman, Beat It On Down The Line, Dont Ease Me In, El Paso, Row Jimmy, The Race Is On, Bird Song, Playing In The Band","China Cat Sunflower, I Know You Rider, Jack Straw, Wave That Flag, Greatest Story Ever Told, Truckin, Eyes Of The World, Not Fade Away, Goin Down The Road Feeling Bad, One More Saturday Night",No Set 3,No Encore,1
359,3/31/73,War Memorial Auditorium,Buffalo,NY,US,"Mississippi Half Step Uptown Toodeloo, The Race Is On, Sugaree, Mexicali Blues, Box Of Rain, Tennessee Jed, Jack Straw, Big Railroad Blues, El Paso, Row Jimmy, Looks Like Rain, They Love Each Other, Playing In The Band","The Promised Land, Bertha, Greatest Story Ever Told, Hes Gone> , Truckin> , Nobodys Fault But Mine Jam> , Drums> , The Other One Jam> , Spanish Jam> , The Other One> , I Know You Rider",No Set 3,Casey Jones,1
360,4/2/73,Boston Garden,Boston,MA,US,"The Promised Land, Deal, Mexicali Blues, Brown Eyed Women, Beat It On Down The Line, Row Jimmy, Looks Like Rain, Wave That Flag, Box Of Rain, Big River, China Cat Sunflower, I Know You Rider, You Aint Woman Enough, Jack Straw, Dont Ease Me In, Playing In The Band","Ramble On Rose, Me And My Uncle, Mississippi Half Step Uptown Toodeloo, Around And Around, Loose Lucy, Greatest Story Ever Told, Here Comes Sunshine, Me And Bobby Mcgee, Weather Report Suite Prelude, Eyes Of The World, China Doll, Sugar Magnolia, Casey Jones, Johnny B. Goode",No Set 3,And We Bid You Good Night,1
361,5/13/73,State Fairgrounds,Des Moines,IA,US,"The Promised Land, Deal, Mexicali Blues, They Love Each Other, Box Of Rain, Loser, China Cat Sunflower, I Know You Rider, Beat It On Down The Line, El Paso, Row Jimmy, Me And My Uncle, Dont Ease Me In, Around And Around","Tennessee Jed, Big River, Bertha, Jack Straw, Sugaree, Looks Like Rain, Here Comes Sunshine, Playing In The Band","Mississippi Half Step Uptown Toodeloo, Greatest Story Ever Told, Brown Eyed Women, Hes Gone, Truckin, Drums, The Other One, Eyes Of The World, China Doll, Sugar Magnolia",Casey Jones,1
362,5/20/73,Campus Stadium,Santa Barbara,CA,US,"Bertha, Me And My Uncle, Box Of Rain, Deal, Looks Like Rain, Tennessee Jed, The Race Is On, China Cat Sunflower, I Know You Rider, Beat It On Down The Line, They Love Each Other, Playing In The Band","The Promised Land, Brown Eyed Women, Mexicali Blues, Row Jimmy, Jack Straw, Big Railroad Blues, Greatest Story Ever Told, Here Comes Sunshine, Big River, Loser, El Paso, Casey Jones","Truckin, The Other One, Eyes Of The World, Stella Blue, Sugar Magnolia",Johnny B. Goode,1
363,5/26/73,Kezar Stadium,San Francisco,CA,US,"The Promised Land, Deal, Jack Straw, Tennessee Jed, The Race Is On, Sugaree, Mexicali Blues, Row Jimmy, Looks Like Rain, They Love Each Other, Playing In The Band","Here Comes Sunshine, El Paso, Loser, Beat It On Down The Line, You Aint Woman Enough, Box Of Rain, China Cat Sunflower, I Know You Rider, Big River, Bertha, Around And Around","Mississippi Half Step Uptown Toodeloo, Me And My Uncle, Hes Gone, Truckin, The Other One, Eyes Of The World, China Doll, Sugar Magnolia",Casey Jones,1
364,6/9/73,Robert F. Kennedy Stadium,"Washington, D.C.",DC,US,"The Promised Land, Deal, Looks Like Rain, They Love Each Other, Jack Straw, Loose Lucy, Mexicali Blues, Row Jimmy, El Paso, Box Of Rain, Sugaree, Beat It On Down The Line, Tennessee Jed, China Cat Sunflower, I Know You Rider","Hes Gone, Truckin, Playing In The Band, Loser, Me And My Uncle, Mississippi Half Step Uptown Toodeloo, Big River, Eyes Of The World, China Doll, Sugar Magnolia",No Set 3,No Encore,1
365,6/10/73,Robert F. Kennedy Stadium,"Washington, D.C.",DC,US,"Morning Dew, Beat It On Down The Line, Ramble On Rose, Jack Straw, Wave That Flag, Looks Like Rain, Box Of Rain, They Love Each Other, The Race Is On, Row Jimmy, El Paso, Bird Song, Playing In The Band","Eyes Of The World, Stella Blue, Big River, Here Comes Sunshine, Around And Around, Dark Star, Hes Gone, Wharf Rat, Truckin, Sugar Magnolia","It Takes A Lot To Laugh It Takes A Train To Cry, Thats All Right, Mama, The Promised Land, Not Fade Away, Goin Down The Road Feeling Bad, Not Fade Away",Johnny B. Goode,1
366,6/22/73,P.N.E. Coliseum,Vancouver,BC,CA,"Bertha, Beat It On Down The Line, Deal, Mexicali Blues, Box Of Rain, Bird Song, The Race Is On, Sugaree, Looks Like Rain, Row Jimmy, Jack Straw, China Cat Sunflower, I Know You Rider, Big River, Tennessee Jed, Playing In The Band","Here Comes Sunshine, The Promised Land, Brown Eyed Women, El Paso, Black Peter, Greatest Story Ever Told, Big Railroad Blues, Hes Gone, Truckin, Nobodys Fault But Mine Jam, The Other One, Wharf Rat, Sugar Magnolia, Casey Jones",No Set 3,Johnny B. Goode,1
367,6/24/73,Portland Memorial Coliseum,Portland,OR,US,"Mississippi Half Step Uptown Toodeloo, You Aint Woman Enough, El Paso, Stella Blue, Greatest Story Ever Told, Bertha, Mexicali Blues, They Love Each Other, Looks Like Rain, Box Of Rain, Big Railroad Blues, Sugaree, The Race Is On, Row Jimmy, Beat It On Down The Line, China Cat Sunflower, I Know You Rider, Around And Around","The Promised Land, Dark Star, Eyes Of The World, China Doll, Sugar Magnolia, One More Saturday Night",No Set 3,No Encore,1
368,6/26/73,Seattle Center Arena,Seattle,WA,US,"Casey Jones, Greatest Story Ever Told, Brown Eyed Women, Jack Straw, Box Of Rain, Deal, Mexicali Blues, You Aint Woman Enough, Row Jimmy, The Race Is On, China Cat Sunflower, I Know You Rider, Beat It On Down The Line, Loser, Playing In The Band","Bertha, The Promised Land, They Love Each Other, El Paso, Black Peter, Big River, Here Comes Sunshine, Me And My Uncle, Hes Gone, Truckin, The Other One, Me And Bobby Mcgee, The Other One, Sugar Magnolia",No Set 3,Johnny B. Goode,1
369,6/29/73,Universal Amphitheatre,Universal City,CA,US,"Bertha, Me And My Uncle, Sugaree, The Race Is On, Looks Like Rain, Dont Ease Me In, Big River, Row Jimmy, Loose Lucy, China Cat Sunflower, I Know You Rider, Jack Straw, Deal, Playing In The Band","Mississippi Half Step Uptown Toodeloo, El Paso, Brown Eyed Women, The Promised Land, Hes Gone, Truckin, The Other One, Morning Dew, Around And Around, Casey Jones",No Set 3,No Encore,1
370,6/30/73,Universal Amphitheatre,Universal City,CA,US,"The Promised Land, They Love Each Other, Mexicali Blues, Tennessee Jed, Looks Like Rain, Bird Song, Cumberland Blues, Row Jimmy, Jack Straw, Deal, Beat It On Down The Line, Black Peter, Playing In The Band","Greatest Story Ever Told, Ramble On Rose, El Paso, Dark Star, Eyes Of The World, Stella Blue, Sugar Magnolia",No Set 3,One More Saturday Night,1
371,7/1/73,Universal Amphitheatre,Universal City,CA,US,"Mississippi Half Step Uptown Toodeloo, Me And My Uncle, Sugaree, The Race Is On, Brown Eyed Women, Looks Like Rain, Dont Ease Me In, Big River, China Cat Sunflower, I Know You Rider, Around And Around","Playing In The Band, Row Jimmy, El Paso, Loose Lucy, Truckin, The Other One, Wharf Rat, Me And Bobby Mcgee, Casey Jones",No Set 3,No Encore,1
372,7/27/73,Grand Prix Racecourse,Watkins Glen,NY,US,"The Promised Land, Sugaree, Mexicali Blues, Bird Song, Big River, Tennessee Jed","Mississippi Half Step Uptown Toodeloo, Me And My Uncle, Jam, Wharf Rat, Around And Around",No Set 3,No Encore,1
373,7/28/73,Grand Prix Racecourse,Watkins Glen,NY,US,"Bertha, Beat It On Down The Line, Brown Eyed Women, Mexicali Blues, Box Of Rain, Here Comes Sunshine, Looks Like Rain, Row Jimmy, Jack Straw, Deal, Playing In The Band","Around And Around, Loose Lucy, Big River, Hes Gone, Truckin, Nobodys Fault But Mine Jam, El Paso, China Cat Sunflower, I Know You Rider, Stella Blue, Eyes Of The World, Sugar Magnolia",Sing Me Back Home,"Not Fade Away, Mountain Jam, Johnny B. Goode",1
374,7/31/73,Roosevelt Stadium,Jersey City,NJ,US,"Ramble On Rose, Me And My Uncle, Dont Ease Me In, Beat It On Down The Line, Brown Eyed Women, Mexicali Blues, Loser, Jack Straw, They Love Each Other, Looks Like Rain, Tennessee Jed, El Paso, China Cat Sunflower, I Know You Rider, Playing In The Band","The Promised Land, Bertha, Greatest Story Ever Told, Black Peter, Big River, Loose Lucy, Me And Bobby Mcgee, Truckin, The Other One, Goin Down The Road Feeling Bad, Johnny B. Goode",No Set 3,No Encore,1
375,8/1/73,Roosevelt Stadium,Jersey City,NJ,US,"The Promised Land, Sugaree, The Race Is On, You Aint Woman Enough, Bird Song, Mexicali Blues, They Love Each Other, Jack Straw, Stella Blue, Big River, Casey Jones","Around And Around, Mississippi Half Step Uptown Toodeloo, Me And My Uncle, Row Jimmy, Dark Star, El Paso, Eyes Of The World, Morning Dew, Sugar Magnolia, Goin Down The Road Feeling Bad, One More Saturday Night",No Set 3,No Encore,1
376,9/7/73,Nassau Veterans Memorial Coliseum,Uniondale,NY,US,"The Promised Land, Sugaree, Mexicali Blues, They Love Each Other, Jack Straw, Looks Like Rain, Deal, El Paso, Bird Song, Playing In The Band","Here Comes Sunshine, Me And My Uncle, Loser, Let It Grow> , Stella Blue, Truckin> , Drums> , The Other One Jam> , Eyes Of The World> , Sugar Magnolia",No Set 3,Around And Around,1
377,9/8/73,Nassau Veterans Memorial Coliseum,Uniondale,NY,US,"Bertha, Me And My Uncle, Sugaree, Beat It On Down The Line, Tennessee Jed, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Looks Like Rain, Brown Eyed Women, Jack Straw, Eyes Of The World, China Doll, Greatest Story Ever Told, Ramble On Rose, Big River","China Cat Sunflower, I Know You Rider, El Paso, Hes Gone, Truckin, Not Fade Away, Goin Down The Road Feeling Bad, Not Fade Away",No Set 3,"Stella Blue, One More Saturday Night",1
378,9/11/73,College Of William and Mary,Williamsburg,VA,US,"The Promised Land, Sugaree, The Race Is On, Loser, Looks Like Rain, Tennessee Jed, Jack Straw, China Cat Sunflower, I Know You Rider, El Paso, Mississippi Half Step Uptown Toodeloo, Playing In The Band","Let Me Sing Your Blues Away, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Row Jimmy, Big River, Deal, Beat It On Down The Line, Dark Star, Morning Dew, Sugar Magnolia",No Set 3,No Encore,1
379,9/12/73,College Of William and Mary,Williamsburg,VA,US,"Bertha, Mexicali Blues, Brown Eyed Women, El Paso, Dont Ease Me In, Looks Like Rain, Here Comes Sunshine, Ramble On Rose, Me And My Uncle, Bird Song, Jack Straw, Loser, Big River","Loose Lucy, Row Jimmy, Let Me Sing Your Blues Away, Around And Around, Eyes Of The World, Stella Blue, Beat It On Down The Line, Casey Jones",No Set 3,One More Saturday Night,1
