SN,Date,Venue,City,State,Country,Set 1,Set 2,Set 3,Encore,Show Number
1741,7/27/94,Riverport Amphitheatre,Maryland Heights,MO,US,"Here Comes Sunshine, Walkin Blues, Jack A Roe, Black Throated Wind","Just Like Tom Thumbs Blues, Ramble On Rose, Let It Grow","Box Of Rain, Iko Iko, Way To Go Home, Corrina, Drums, Space, The Last Time, Days Between, Around And Around",Liberty,1
1742,7/29/94,Buckeye Lake Music Center,Hebron,OH,US,"Rain, Feel Like A Stranger, Bertha, Wang Dang Doodle, Loser, El Paso, Althea, Eternity, Deal","Foolish Heart, I Want To Tell You, Looks Like Rain, Samba In The Rain, Uncle Johns Band, Saint Of Circumstance, Drums> , Space, I Need A Miracle, Standing On The Moon, Turn On Your Lovelight",No Set 3,The Mighty Quinn (Quinn The Eskimo),1
1743,7/31/94,The Palace,Auburn Hills,MI,US,"Touch Of Grey, Greatest Story Ever Told, Row Jimmy, Spoonful, Lazy River Road","Me And My Uncle, Big River, Loose Lucy, In The Midnight Hour, Samson And Delilah, Way To Go Home, New Speedway Boogie, Truckin, Hes Gone, Drums> , Space, Spanish Jam, The Last Time, Black Peter, Good Lovin",No Set 3,The Weight,1
1744,8/1/94,The Palace,Auburn Hills,MI,US,"Picasso Moon, Peggy O, The Same Thing, Stagger Lee, Childhoods End, The Music Never Stopped","Victim Or The Crime> , Scarlet Begonias> , Fire On The Mountain, Samba In The Rain, Estimated Prophet> , Drums> , Space> , All Along The Watchtower> , Stella Blue> , (I Cant Get No) Satisfaction",No Set 3,Liberty,1
1745,8/3/94,Giants Stadium,East Rutherford,NJ,US,"Mississippi Half Step Uptown Toodeloo, Little Red Rooster, Lazy River Road, El Paso, If The Shoe Fits, Bird Song","The Promised Land, Foolish Heart, Easy Answers, Samba In The Rain, Crazy Fingers, Corrina, Drums, Space, The Other One, Attics Of My Life, Sugar Magnolia",No Set 3,Liberty,1
1746,8/4/94,Giants Stadium,East Rutherford,NJ,US,"Box Of Rain, Jack Straw, Jack A Roe, Walkin Blues, So Many Roads, Eternity, Childhoods End, Deal, Picasso Moon, China Cat Sunflower, I Know You Rider, Way To Go Home, Playing In The Band, Uncle Johns Band, Drums> , Space, I Need A Miracle, Days Between, Throwing Stones, Not Fade Away, Brokedown Palace",No Set 2,No Set 3,No Encore,1
1747,9/16/94,Shoreline Amphitheatre,Mountain View,CA,US,"Cold Rain And Snow, Wang Dang Doodle, Lazy River Road, Black Throated Wind, Stagger Lee, Cassidy, Deal","Victim Or The Crime, If The Shoe Fits, Crazy Fingers, Estimated Prophet, Eyes Of The World, Drums, Space, The Last Time, The Wheel, Good Lovin",No Set 3,Liberty,1
1748,9/17/94,Shoreline Amphitheatre,Mountain View,CA,US,"Jack Straw, Peggy O, The Same Thing, West L.A. Fadeaway, Queen Jane Approximately, Ramble On Rose, Eternity, Dont Ease Me In","Playing In The Band, Uncle Johns Band, Corrina, Terrapin Station, Drums, Space, I Need A Miracle, Stella Blue, One More Saturday Night",No Set 3,"Its All Over Now, Its All Over Now, Baby Blue",1
1749,9/18/94,Shoreline Amphitheatre,Mountain View,CA,US,"Touch Of Grey, Greatest Story Ever Told, Jack A Roe, Little Red Rooster, Tennessee Jed, El Paso, Brown Eyed Women, The Music Never Stopped","Iko Iko, Saint Of Circumstance, Samba In The Rain, So Many Roads, Samson And Delilah, Drums, Space, Days Between, Throwing Stones, Not Fade Away",No Set 3,Brokedown Palace,1
1750,9/27/94,Boston Garden,Boston,MA,US,"Feel Like A Stranger, They Love Each Other, New Minglewood Blues, So Many Roads, Maggies Farm, Cumberland Blues, Easy Answers, Deal","China Cat Sunflower, I Know You Rider, Man Smart (Woman Smarter), Way To Go Home, Corrina, Jam, Uncle Johns Band, Jam, Drums, Space, All Along The Watchtower, Standing On The Moon",No Set 3,Johnny B. Goode,1
1751,9/28/94,Boston Garden,Boston,MA,US,"Let The Good Times Roll, Bertha, Greatest Story Ever Told, West L.A. Fadeaway, El Paso, Lazy River Road, Eternity, Dont Ease Me In","Victim Or The Crime, Foolish Heart, Looks Like Rain, Samba In The Rain, Drums, Space, The Wheel, I Need A Miracle, Black Peter, Turn On Your Lovelight, Its All Over Now, Baby Blue",No Set 3,No Encore,1
1752,9/29/94,Boston Garden,Boston,MA,US,"Hell In A Bucket, Peggy O, Wang Dang Doodle, Ramble On Rose, When I Paint My Masterpiece, Brown Eyed Women, Let It Grow, Playing In The Band, Eyes Of The World, Estimated Prophet, Hes Gone, Drums, Space, Spanish Jam, The Other One, Wharf Rat, Sugar Magnolia",I Fought The Law,No Set 3,No Encore,1
1753,10/1/94,Boston Garden,Boston,MA,US,"Help On The Way> , Slipknot!> , Franklins Tower, Walkin Blues, Althea, Me And My Uncle> , Big River, Just Like Tom Thumbs Blues, So Many Roads, The Promised Land","Scarlet Begonias> , Fire On The Mountain, Way To Go Home, Saint Of Circumstance> , Terrapin Station> , Jam> , Drums> , Space> , The Last Time> , Stella Blue> , One More Saturday Night",No Set 3,Liberty,1
1754,10/2/94,Boston Garden,Boston,MA,US,"Jack Straw, Loser, Its All Over Now, Row Jimmy, Broken Arrow, Mama Tried, Mexicali Blues, Tennessee Jed, Picasso Moon","Iko Iko, Samba In The Rain, If The Shoe Fits, Samson And Delilah, Crazy Fingers, Truckin, That Would Be Something, Jam, Drums, Space, Days Between, Throwing Stones, Not Fade Away",No Set 3,U.S. Blues,1
1755,10/3/94,Boston Garden,Boston,MA,US,"Touch Of Grey, Beat It On Down The Line, Loose Lucy, Little Red Rooster, Childhoods End, Dire Wolf, Black Throated Wind, Bird Song","Box Of Rain, Shakedown Street, Cassidy, Goin Down The Road Feeling Bad, Goin Down The Road Feeling Bad, Drums, Space, The Wheel, All Along The Watchtower, Attics Of My Life, Around And Around",No Set 3,Brokedown Palace,1
1756,10/5/94,The Spectrum,Philadelphia,PA,US,"Jack Straw, Friend Of The Devil, Wang Dang Doodle, Jack A Roe, Queen Jane Approximately, Lazy River Road, Eternity, Deal","In The Midnight Hour, Cumberland Blues, Playing In The Band, Uncle Johns Band, Drums, Space, I Need A Miracle, Standing On The Moon, Sugar Magnolia",No Set 3,The Mighty Quinn (Quinn The Eskimo),1
1757,10/6/94,The Spectrum,Philadelphia,PA,US,"Mississippi Half Step Uptown Toodeloo, New Minglewood Blues, Peggy O, If The Shoe Fits, When I Paint My Masterpiece, Ramble On Rose, Easy Answers, Dont Ease Me In","China Cat Sunflower> , I Know You Rider, Way To Go Home, New Speedway Boogie> , Truckin> , Drums> , Space> , The Other One> , Wharf Rat> , Good Lovin",No Set 3,Liberty,1
1758,10/7/94,The Spectrum,Philadelphia,PA,US,"Feel Like A Stranger, Sugaree, The Same Thing, Brown Eyed Women, El Paso, Tennessee Jed, The Music Never Stopped","Victim Or The Crime, Samba In The Rain, Foolish Heart, Corrina, Drums, Space, The Last Time, That Would Be Something, Morning Dew",No Set 3,Johnny B. Goode,1
1759,10/9/94,USAir Arena,Landover,MD,US,"Hell In A Bucket, Bertha, Spoonful, Stagger Lee, Broken Arrow, Me And My Uncle, Big River, So Many Roads, The Promised Land","Here Comes Sunshine, Samson And Delilah, Way To Go Home, Ship Of Fools, Saint Of Circumstance, Drums, Space, I Need A Miracle, Comes A Time, Throwing Stones, Turn On Your Lovelight",No Set 3,Rain,1
